Country_Name,Language,Continent
Mexico,Spanish,North America
India,Hindi,Asia
Spain,Spanish,Europe
China,Chinese,Asia
Canada,English,North America
Germany,German,Europe
Andorra,Catalan,Europe
Portugal,Portuguese,Europe
Nepal,Nepali,Asia
Switzerland,German,Europe
Belgium,Belgian,Europe
Austria,Austrian,Europe
Japan,Japanese,Asia
United Kingdom,English,Europe
Australia,English,Oceania
Indonesia,Indonesian,Asia
United Arab Emirates,Arabic,Asia
Czech Republic,Czech,Europe
Sweden,Swedish,Europe
Thailand,Thai,Asia
Singapore,Malay,Asia
Nigeria,English,Africa
Israel,Hebrew,Asia
Italy,Italian,Europe
South Africa,English,Africa
Brazil,Portuguese,South America
Malaysia,Malay,Asia
South Korea,Korean,Asia
New Zealand,English,Oceania
Philippines,Filipino,Asia
Norway,Norwegian,Europe
Egypt,Arabic,Africa
Denmark,Danish,Europe
Colombia,Spanish,South America
Netherlands,Dutch,Europe
Poland,Polish,Europe
Ukraine,Ukrainian,Europe
Turkey,Turkish,Europe
